"","item.deptCd","item.empNm","item.engNm","item.hjNm","item.jpgLink","item.origNm","item.reeleGbnNm"
"1","9770933","강병원","KANG BYUNGWON","姜炳遠","http://www.assembly.go.kr/photo/9770933.jpg","서울 은평구을","초선"
"2","9771036","강석진","KANG SEOKJIN","姜錫振","http://www.assembly.go.kr/photo/9771036.jpg","경남 산청군함양군거창군합천군","초선"
"3","9771054","강효상","KHANG HYOSHANG","姜孝祥","http://www.assembly.go.kr/photo/9771054.jpg","비례대표","초선"
"4","9771007","강훈식","KANG HOONSIK","姜勳植","http://www.assembly.go.kr/photo/9771007.jpg","충남 아산시을","초선"
"5","9770931","고용진","KOH YONGJIN","고용진","http://www.assembly.go.kr/photo/9770931.jpg","서울 노원구갑","초선"
"6","9770961","곽대훈","KWAK DAEHOON","郭大勳","http://www.assembly.go.kr/photo/9770961.jpg","대구 달서구갑","초선"
"7","9770956","곽상도","KWAK SANGDO","郭尙道","http://www.assembly.go.kr/photo/9770956.jpg","대구 중구남구","초선"
"8","9771066","권미혁","KWON MIHYUK","權美赫","http://www.assembly.go.kr/photo/9771066.jpg","비례대표","초선"
"9","9770998","권칠승","KWON CHILSEUNG","權七勝","http://www.assembly.go.kr/photo/9770998.jpg","경기 화성시병","초선"
"10","9770937","금태섭","KEUM TAESUP","琴泰燮","http://www.assembly.go.kr/photo/9770937.jpg","서울 강서구갑","초선"
"11","9770927","기동민","KI DONGMIN","奇東旻","http://www.assembly.go.kr/photo/9770927.jpg","서울 성북구을","초선"
"12","9770970","김경진","KIM KYUNGJIN","金京鎭","http://www.assembly.go.kr/photo/9770970.jpg","광주 북구갑","초선"
"13","9771011","김광수","KIM KWANGSOO","金光守","http://www.assembly.go.kr/photo/9771011.jpg","전북 전주시갑","초선"
"14","9771044","김규환","KIM GYUHWAN","金奎煥","http://www.assembly.go.kr/photo/9771044.jpg","비례대표","초선"
"15","9770997","김두관","KIM DUKWAN","金斗官","http://www.assembly.go.kr/photo/9770997.jpg","경기 김포시갑","초선"
"16","9770983","김병관","KIM BYOUNGGWAN","金炳官","http://www.assembly.go.kr/photo/9770983.jpg","경기 성남시분당구갑","초선"
"17","9770941","김병기","KIM BYUNGKEE","金炳基","http://www.assembly.go.kr/photo/9770941.jpg","서울 동작구갑","초선"
"18","9770984","김병욱","KIM BYUNGWOOK","金炳旭","http://www.assembly.go.kr/photo/9770984.jpg","경기 성남시분당구을","초선"
"19","9771077","김삼화","KIM SAMHWA","金三和","http://www.assembly.go.kr/photo/9771077.jpg","비례대표","초선"
"20","9771024","김석기","KIM SEOKKI","金碩基","http://www.assembly.go.kr/photo/9771024.jpg","경북 경주시","초선"
"21","9771065","김성수","KIM SUNGSOO","金聖洙","http://www.assembly.go.kr/photo/9771065.jpg","비례대표","초선"
"22","9770985","김성원","KIM SUNGWON","金成願","http://www.assembly.go.kr/photo/9770985.jpg","경기 동두천시연천군","초선"
"23","9771046","김성태","KIM SEANGTAE","金成泰","http://www.assembly.go.kr/photo/9771046.jpg","비례대표","초선"
"24","9771089","김성환","KIM SUNG WHAN","金星煥","http://www.assembly.go.kr/photo/9771089.jpg","서울 노원구병","초선"
"25","9771075","김수민","KIM SUMIN","金秀玟","http://www.assembly.go.kr/photo/9771075.jpg","비례대표","초선"
"26","9771053","김순례","KIM SOONRYE","金順禮","http://www.assembly.go.kr/photo/9771053.jpg","비례대표","초선"
"27","9771049","김승희","KIM SEUNGHEE","金承禧","http://www.assembly.go.kr/photo/9771049.jpg","비례대표","초선"
"28","9770981","김영진","KIM YOUNGJIN","金榮鎭","http://www.assembly.go.kr/photo/9770981.jpg","경기 수원시병","초선"
"29","9770934","김영호","KIM YOUNGHO","金映豪","http://www.assembly.go.kr/photo/9770934.jpg","서울 서대문구을","초선"
"30","9770993","김정우","KIM CHUNGWOO","金政祐","http://www.assembly.go.kr/photo/9770993.jpg","경기 군포시갑","초선"
"31","9771023","김정재","KIM JUNGJAE","金汀才","http://www.assembly.go.kr/photo/9771023.jpg","경북 포항시북구","초선"
"32","9771090","김정호","KIM JUNG HO","金禎鎬","http://www.assembly.go.kr/photo/9771090.jpg","경남 김해시을","초선"
"33","9771083","김종대","KIM JONGDAE","金鍾大","http://www.assembly.go.kr/photo/9771083.jpg","비례대표","초선"
"34","9771009","김종민","KIM JONGMIN","金鍾民","http://www.assembly.go.kr/photo/9771009.jpg","충남 논산시계룡시금산군","초선"
"35","9771048","김종석","KIM JONGSEOK","金鍾奭","http://www.assembly.go.kr/photo/9771048.jpg","비례대표","초선"
"36","9771016","김종회","KIM JONGHOE","金鍾懷","http://www.assembly.go.kr/photo/9771016.jpg","전북 김제시부안군","초선"
"37","9770978","김종훈","KIM JONGHOON","金鍾勳","http://www.assembly.go.kr/photo/9770978.jpg","울산 동구","초선"
"38","9771078","김중로","KIM JOONGRO","金中魯","http://www.assembly.go.kr/photo/9771078.jpg","비례대표","초선"
"39","9770986","김철민","KIM CHEOLMIN","金哲玟","http://www.assembly.go.kr/photo/9770986.jpg","경기 안산시상록구을","초선"
"40","9770991","김한정","KIM HANJUNG","金漢正","http://www.assembly.go.kr/photo/9770991.jpg","경기 남양주시을","초선"
"41","9770953","김해영","KIM HAEYOUNG","金海永","http://www.assembly.go.kr/photo/9770953.jpg","부산 연제구","초선"
"42","9771061","김현권","KIM HYUNKWON","金玄權","http://www.assembly.go.kr/photo/9771061.jpg","비례대표","초선"
"43","9771055","김현아","KIM HYUNAH","金炫我","http://www.assembly.go.kr/photo/9771055.jpg","비례대표","초선"
"44","9771091","맹성규","MAENG SUNG KYU","孟聖奎","http://www.assembly.go.kr/photo/9771091.jpg","인천 남동구갑","초선"
"45","9771042","문진국","MOON JINKOOK","文鎭國","http://www.assembly.go.kr/photo/9771042.jpg","비례대표","초선"
"46","9770964","민경욱","MIN KYUNGWOOK","閔庚旭","http://www.assembly.go.kr/photo/9770964.jpg","인천 연수구을","초선"
"47","9771056","박경미","PARK KYUNGMEE","朴炅美","http://www.assembly.go.kr/photo/9771056.jpg","비례대표","초선"
"48","9770944","박성중","PARK SUNGJOONG","朴成重","http://www.assembly.go.kr/photo/9770944.jpg","서울 서초구을","초선"
"49","9771030","박완수","PARK WANSU","朴完洙","http://www.assembly.go.kr/photo/9771030.jpg","경남 창원시의창구","초선"
"50","9770929","박용진","PARK YONGJIN","朴用鎭","http://www.assembly.go.kr/photo/9770929.jpg","서울 강북구을","초선"
"51","9770950","박재호","PARK JAEHO","朴在昊","http://www.assembly.go.kr/photo/9770950.jpg","부산 남구을","초선"
"52","9770995","박정","PARK JEUNG","朴釘","http://www.assembly.go.kr/photo/9770995.jpg","경기 파주시을","초선"
"53","9770932","박주민","PARK JUMIN","朴柱民","http://www.assembly.go.kr/photo/9770932.jpg","서울 은평구갑","초선"
"54","9771071","박주현","PARK JOOHYUN","朴珠賢","http://www.assembly.go.kr/photo/9771071.jpg","비례대표","초선"
"55","9770963","박찬대","PARK CHANDAE","朴贊大","http://www.assembly.go.kr/photo/9770963.jpg","인천 연수구갑","초선"
